id,user,rating
0,7bf1181f-f7f3-4aa9-8610-958584926d70,171,
1,1cbbdcc6-5ffd-4589-907c-51e0d56e7d67,190,
2,6d032c2a-6cb1-4c92-828b-e53898f1d183,189,
3,14a3f034-fe96-4270-819e-0124166b90a8,189,
4,6fdca44c-8c28-473b-9dc3-08d46245c6c3,194,
5,9dd548cd-16c1-4a3e-afe1-77122e8423ae,190,
6,4303747d-e8f0-4966-9b3a-d1021b0fd26d,181,
7,0574fc66-8466-448a-ae54-ec9876016fef,184,
8,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,172,
9,b586ba14-24e6-4d2c-abe0-3d579ff6d1a9,187,
10,648d4601-1c87-46b1-a2eb-b47244eb3c7d,187,
11,84e5cad6-5c21-45c2-a5ef-281583f1c381,185,
12,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,164,
13,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,193,
14,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,211,
15,14a3f034-fe96-4270-819e-0124166b90a8,191,
16,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,196,
17,648d4601-1c87-46b1-a2eb-b47244eb3c7d,192,
18,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,217,
19,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,225,
20,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,233,
21,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,225,
22,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
23,4303747d-e8f0-4966-9b3a-d1021b0fd26d,209,
24,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
25,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
26,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
27,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,229,
28,4303747d-e8f0-4966-9b3a-d1021b0fd26d,226,
29,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,
30,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,238,
31,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,
32,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,234,
33,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,
34,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,234,
35,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
36,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
37,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
38,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,
39,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,232,
40,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,235,
